alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 23, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 99, 21, 0.952380952381, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 100, 20, 0.95, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 106, 14, 0.928571428571, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 110, 10, 0.9, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 1, 0.1
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 113, 7, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 111, 9, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 114, 6, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 113, 7, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 104, 16, 0.9375, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 102, 18, 0.944444444444, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 98, 22, 0.954545454545, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 104, 16, 0.9375, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 104, 16, 0.9375, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 115, 5, 0.8, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 111, 9, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 106, 14, 0.928571428571, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 96, 24, 0.958333333333, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 93, 27, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 100, 20, 0.95, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 111, 9, 0.888888888889, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 113, 7, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 89, 31, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 117, 3, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 113, 7, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 112, 8, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 95, 25, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 99, 21, 0.952380952381, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 96, 24, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 114, 6, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 102, 18, 0.944444444444, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 113, 7, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 23, 0.983333333333, 120, 2, 108, 12, 0.833333333333, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 101, 19, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 104, 16, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 110, 10, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 1, 0.0666666666667
0.1, 99, 23, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 99, 21, 0.952380952381, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 111, 9, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 107, 13, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 115, 5, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 108, 12, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 102, 18, 1.0, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
0.1, 99, 23, 0.991666666667, 120, 1, 110, 10, 0.9, 0, 0.0
0.1, 99, 23, 1.0, 120, 0, 100, 20, 1.0, 0, 0.0
